"State.Code..FIPS.","County.Code..FIPS.","County","2013 population","2013 murders","2014 population","2014 murders","2015 population","2015 murders","2016 population","2016 murders","2017 population","2017 murders","2013 murders per 100,000 people","2014 murders per 100,000 people","2015 murders per 100,000 people","2016 murders per 100,000 people","2017 murders per 100,000 people","2013-17 average murders per 100K","2013-17 average population","Index crime rate per 100K, 2013","Index crime rate per 100K, 2014","Index crime rate per 100K, 2015","Index crime rate per 100K, 2016","Index crime rate per 100K, 2017","Average index crime rate, 2013-17","Summary.Level","County.Subdivision.Code..FIPS.","Place.Code..FIPS.","Consolidtated.City.Code..FIPS.","Median annual income","Percent in poverty","Percent black","Percent non-Hispanic white","Percent of households headed by husbandless women","Percent of households headed by husbandless mothers","Median age","Percent of 25-and-older with college degree","Households","Percent in labor force","Percent of homes owner-occupied","Percent of homes vacant","Percent of households headed by wifeless fathers","Percent born outside U.S.","Unemployment rate","Homeowner vacancy rate","Rental vacancy rate","Percent with broadband internet","Births per 1,000 women aged 15-19","Percent of homes rented","BlackCategory","WhiteCategory"
"12","067","Lafayette County",8618,0,8696,0,8664,0,8621,0,8479,1,0,0,0,0,11.7938436136337,2.35876872272674,8615.6,626.595497795312,770.469181232751,911.819021237304,846.8,825.6,796.256740053073,50,"00000","00000","00000",41512,17.8,15.7,68.3,14,6.3,39.2,14,2193,40.7,81.2,32,2.1,404,12.8,4.4,16.6,67,0,18.8,"10-24","50+"
"12","069","Lake County",303317,3,309736,7,316569,11,323985,6,331724,19,0.98906424631656,2.25998915205207,3.47475589839814,1.85193758970323,5.72765310921127,2.86067999913625,317066.2,2538.5982322125,2555.40201978459,2679.03679766496,2314.9,2448.4,2507.26740993241,50,"00000","00000","00000",49734,12.8,10.3,71.1,10.3,5.4,46.6,22.4,127441,52.7,73.5,15.8,1.9,26968,7.2,2.9,7.7,80.4,25,26.5,"10-24","50+"
"12","071","Lee County",643367,25,653485,34,665845,31,680539,41,698468,45,3.8858070121719,5.20287382265852,4.65573819732821,6.02463635441907,6.44267167572459,5.24234541246046,668340.8,2566.03151855784,2412.90924810822,2244.21599621534,2086.4,1942.1,2250.33135257628,50,"00000","00000","00000",52052,14.9,8.7,68.4,10.2,5.5,47.8,27.2,264325,52.8,69.8,31,2.2,113019,7.1,2.9,8.8,79.8,18,30.2,"Less than 10% black","50+"
"12","073","Leon County",278377,14,281292,17,284443,21,287671,12,287899,22,5.02915111521426,6.04354194218108,7.38284999103511,4.17143194830205,7.64156874459446,6.05370874826539,283936.4,4692.55721557456,5015.42880707592,5294.55813642804,5655.4,4802.4,5092.0688318157,50,"00000","00000","00000",49941,20.5,31.1,57.2,12.8,6.9,30.5,45.5,112373,66.1,52.6,12.1,1.8,19178,8.8,2.3,6.4,84.2,6,47.4,"25-49","50+"
"12","075","Levy County",40304,0,40473,0,40448,3,40553,1,41015,2,0,0,7.41693037974684,2.46590881069218,4.87626478117762,2.95182079432333,40558.6,975.08932115919,1003.13789439874,2853.04588607595,2897.4,3235.4,2192.81462032677,50,"00000","00000","00000",36554,21.9,8.8,80.3,13.5,5.8,46.4,11.9,15806,49.2,75,22.2,2.1,1454,8.5,2,8.7,59.3,44,25,"Less than 10% black","50+"
"12","079","Madison County",19395,0,19303,1,19200,2,19238,2,19377,0,0,5.18054188468114,10.4166666666667,10.3960910697578,0,5.19865992422112,19302.6,3052.33307553493,2875.20074599803,3348.95833333333,3098,3111.9,3097.27843097326,50,"00000","00000","00000",31816,31.9,39.1,54.4,14,6.9,42.4,12.5,6743,42.4,75.7,21.3,2.1,733,8.1,3.5,14.3,56.8,0,24.3,"25-49","50+"
"12","081","Manatee County",338368,13,343999,14,353801,20,362080,23,373305,24,3.84197087195007,4.06977927261416,5.65289527163575,6.35218736190897,6.42905934825411,5.26917842527261,354310.6,3709.27510875733,3420.06808159326,3179.75359029511,2640.6,2333.5,3056.63935612914,50,"00000","00000","00000",53408,13.4,8.8,71.9,10.4,5.4,47.6,29.1,140255,53.4,71.4,23.7,1.5,45793,6.6,2.7,10,77.6,11,28.6,"Less than 10% black","50+"
"12","083","Marion County",335008,17,337455,19,341205,10,345749,18,349267,17,5.07450568344637,5.63038034700923,2.93078940812708,5.20608881009056,4.86733645033742,4.74182013980213,341736.8,2502.02980227338,2453.66048806508,2437.8306296801,2631.1,2708.2,2546.56418400371,50,"00000","00000","00000",41964,17.6,12.9,71.3,12.4,6.1,48.5,19.4,134747,46.1,75.3,19,2,24636,9,2.8,9.6,74.8,10,24.7,"10-24","50+"
"12","085","Martin County",148077,0,148585,5,150062,0,150870,6,153022,1,0,3.36507722852239,0,3.9769337840525,0.653500803805989,1.59910236327618,150123.2,2364.98578442297,2012.9891981021,1893.88386133731,1899,2146.1,2063.39176877248,50,"00000","00000","00000",55588,10.9,5.6,79,8,3.6,51.6,32.3,63497,52.2,76.6,20.2,1.7,15882,6.5,2,9,81.6,12,23.4,"Less than 10% black","50+"
"12","086","Miami-Dade County",2582375,229,2613692,212,2653934,217,2700794,198,2743095,188,8.86780579892541,8.11113168651853,8.17654093884776,7.33117742412046,6.85357233344088,7.86804563637061,2658778,4906.49111767269,4690.75927844597,4369.70173335132,4118,3907,4398.390425894,50,"00000","00000","00000",46338,19,18,13.7,18.2,8.5,39.5,27.8,858289,62.1,52.2,14.9,2.2,1430880,7.4,2,6.3,73.2,9,47.8,"10-24","10-24"
"12","087","Monroe County",73560,2,74044,0,74206,2,76047,2,76889,9,2.71886895051658,0,2.69519984906881,2.62995252935684,11.7051853971309,3.94984134521463,74949.2,4575.85644371941,4228.56679812004,3813.70778643236,3103.3,2771.5,3698.58620565436,50,"00000","00000","00000",63030,12.7,7.2,67.3,6.9,4.1,46.7,31.8,30198,64.2,58.7,43.4,2.4,14174,3.7,4.1,21.7,77.6,23,41.3,"Less than 10% black","50+"
"12","089","Nassau County",74661,1,75321,1,76536,2,77841,5,80456,1,1.33938736421961,1.32765098710851,2.61314936761785,6.42335016251076,1.24291538232077,2.5892906527555,76963,1710.39766410844,1745.86104804769,1442.45845092506,1761.3,1704,1672.80343261624,50,"00000","00000","00000",64294,11.4,6.3,87.5,10,5.3,44.9,27.2,30454,57.7,77.8,18.1,1.8,2744,5.7,1.6,7.2,80.8,0,22.2,"Less than 10% black","50+"
"12","091","Okaloosa County",188349,4,190666,3,191898,12,192925,10,195488,6,2.12371714211384,1.57343207493733,6.25332207735359,5.1833614098743,3.06924210181699,3.64061496121921,191865.2,2760.30135546247,2889.34576694324,2952.08913068401,2961.8,2799.1,2872.52725061794,50,"00000","00000","00000",59955,11.5,9.8,74.5,10.8,5.5,36.7,29.8,76574,63.6,63.3,19.9,2.1,13393,6.1,1.7,7.1,80.3,14,36.7,"Less than 10% black","50+"
"12","093","Okeechobee County",39762,3,39828,1,40052,0,40806,5,41140,1,7.54489210804285,2.51079642462589,0,12.2531000343087,2.43072435585805,4.94790258456709,40317.6,4225.139580504,3429.74791603897,3298.21232397883,3499.5,3332.5,3557.01996410436,50,"00000","00000","00000",39059,22.3,8.4,64,12.6,6.7,41,11,13333,47.5,72.2,28.3,3.3,5010,9,3.1,8.8,58.1,20,27.8,"Less than 10% black","50+"
"12","095","Orange County",1202978,73,1227995,90,1252396,89,1280387,154,1313880,70,6.06827390027083,7.32902006929996,7.10637849370327,12.0276135262229,5.32773160410388,7.57180351872017,1255527.2,4863.43058642801,4667.20141368654,4527.48172303329,4321.3,4022.2,4480.32274462957,50,"00000","00000","00000",51586,16.7,20.9,41.6,15.3,8.5,34.7,32.7,451960,66.9,54.5,12.7,2.1,266879,6.8,2.7,9,83.3,14,45.5,"10-24","25-49"
"12","097","Osceola County",288361,7,295553,6,308327,12,322862,11,337614,19,2.42751273577217,2.0300927414034,3.89197183509715,3.40702838983838,5.62772870793273,3.47686688200877,310543.4,3519.89346686965,3198.07276529083,3046.11662293604,2965,2560.9,3057.9965710193,50,"00000","00000","00000",47343,17.8,11.2,34.2,17,9.4,35.7,19,96250,61.8,60.4,31.1,3.5,64809,6.6,2.7,6.1,72.1,8,39.6,"10-24","25-49"
"12","099","Palm Beach County",1345652,74,1360238,78,1378417,97,1391741,76,1414144,92,5.49919295627696,5.73429061678912,7.03705772636292,5.46078616639159,6.50570238957277,6.04740597107867,1378038.4,3657.40919643415,3466.45219439539,3451.20525936636,3493,3245.4,3462.69333003918,50,"00000","00000","00000",57256,13.4,18.5,56,11.8,5.9,44.4,34.8,543591,59.9,68.6,19.9,2.1,350577,7.4,2,7.8,80.8,14,31.4,"10-24","50+"
"12","101","Pasco County",473566,21,479340,19,487588,17,495868,12,505709,6,4.43443997246424,3.96378353569491,3.48655012018343,2.41999887066719,1.18645307874687,3.09824511555133,488414.2,2926.94154563461,2674.9280260358,2657.3664651304,2461.1,2132.6,2570.58720736016,50,"00000","00000","00000",48289,13.6,5.4,76.4,12.1,6,44.5,22.7,195818,53.4,71.9,17.5,1.8,46432,7,3,7.7,78.6,11,28.1,"Less than 10% black","50+"
"12","103","Pinellas County",926610,30,933258,42,944971,31,954569,39,962003,34,3.23760805516884,4.50036324360466,3.2805239525869,4.08561350724777,3.53429251260131,3.7276802542419,944282.2,4145.32543356968,4186.30218010454,4256.85021021809,3827.5,3484.6,3980.11556477846,50,"00000","00000","00000",48968,13.7,10.2,74.7,10.7,5.1,47.6,30.1,406871,58.1,65.3,19.7,1.9,111915,6.4,2.5,7.5,78.7,12,34.7,"10-24","50+"
"12","105","Polk County",613950,21,623174,16,633052,25,646989,26,661645,12,3.4204739799658,2.56750121153963,3.94912266290921,4.01861546332318,1.81366140452962,3.15387494445349,635762,3304.01498493363,3116.46506433195,2856.95329925504,2746,2304.6,2865.60666970412,50,"00000","00000","00000",45988,17.3,15.2,61,13.5,6.9,40.4,19.5,226604,54.7,68.3,21.5,2.2,65002,7.7,3.3,7.3,64.8,19,31.7,"10-24","50+"
"12","107","Putnam County",72605,2,72523,4,72756,8,72972,6,73176,4,2.75463122374492,5.51549163713581,10.9956567155973,8.2223318533136,5.46627309500383,6.5908769049591,72806.4,4061.70373941189,3531.2935206762,3562.59277585354,3113.5,2548.6,3363.53800718833,50,"00000","00000","00000",33619,27.6,16.3,71.7,13.4,6.8,44.8,12.5,27951,47.8,72.7,25,2.6,2828,10.3,4.4,5.4,62.7,9,27.3,"10-24","50+"
"12","109","St. Johns County",201541,2,207443,4,213566,4,220257,8,229715,4,0.992353913099568,1.92824052872355,1.87295730593821,3.63212065904829,1.74128811788521,2.03339210493897,214504.4,2339.97052708878,2123.47488225681,1889.81392169166,1880.1,1658.6,1978.39186620745,50,"00000","00000","00000",73640,9.1,5.1,83.6,8.6,4.7,43.1,43,83744,59.7,77,16.5,1.5,15641,5.3,1.3,7.2,85.2,7,23,"Less than 10% black","50+"
"12","111","St. Lucie County",281151,15,282821,20,287749,14,292826,13,297634,12,5.33521132772069,7.07161066540321,4.86535140000487,4.43949649279777,4.03179744249649,5.1486934656846,288436.2,2711.35439674765,2476.12447449093,2328.41817000233,2202.7,1944,2332.51940824818,50,"00000","00000","00000",47132,16.6,19.7,58.6,12.6,6.4,44.6,19.6,110043,54,72.2,20.8,2.9,48678,7.6,2.5,9.9,79.2,24,27.8,"10-24","50+"
"12","113","Santa Rosa County",157317,3,159785,5,162925,4,167009,6,170835,5,1.90697763115239,3.12920486904278,2.45511738529998,3.59262075696519,2.92680071413937,2.80214427131994,163574.2,1443.58206678236,1282.97399630754,1281.57127512659,1303.5,1263.2,1314.9654676433,50,"00000","00000","00000",62731,11.3,5.8,82.9,11.6,6.5,39.5,27.1,60607,58.9,74.3,12.4,2,7805,6.3,2.2,10.2,84.5,6,25.7,"Less than 10% black","50+"
"12","115","Sarasota County",380804,7,382686,9,387623,11,395049,9,402737,8,1.83821598512621,2.35179755726627,2.83780890194854,2.27819840070472,1.98640800323785,2.25848576965672,389779.8,2913.04713185786,2594.81663818379,2490.04832014612,2274.9,2113.8,2477.32241803755,50,"00000","00000","00000",55236,10.5,4.5,83.5,8.4,3.9,55.1,33.9,177998,48.2,73.4,24.1,1.5,50144,5.7,2.1,9.9,81.5,33,26.6,"Less than 10% black","50+"
"12","117","Seminole County",431074,6,437086,12,442903,9,449124,25,454757,17,1.391872393139,2.74545512782381,2.03204764925954,5.56639146427267,3.73826021369655,3.09480536963831,442988.8,2867.25712986633,2612.52934205168,2612.31014465921,2652.1,2388.5,2626.53932331545,50,"00000","00000","00000",60739,11.8,11.5,62.3,11.3,5.7,39.1,37.6,161371,65.1,65.8,13.6,1.7,55787,6.6,2.1,11.3,88.7,9,34.2,"10-24","50+"
"12","119","Sumter County",105104,2,111125,2,115657,1,118577,1,120700,6,1.90287715025118,1.79977502812148,0.864625573895225,0.843333867444783,4.97100248550124,2.07632282104278,114232.6,1100.81443142031,1153.65579302587,1203.55879886215,1168,1212.1,1167.62580466167,50,"00000","00000","00000",54771,9.2,7.6,84.7,4.2,1.7,66.4,30.9,52360,23.4,90.1,21.8,0.6,6526,6.6,3.1,21.6,81.6,10,9.9,"Less than 10% black","50+"
"12","121","Suwannee County",43873,3,44168,0,44452,1,44349,4,44690,0,6.83791853759715,0,2.24961756501395,9.0193690951318,0,3.62138103954858,44306.4,2199.53046292708,1967.48777395399,1489.24682803923,2018.1,1584.2,1851.71301298406,50,"00000","00000","00000",40600,20.4,13.5,75.7,13.5,7.1,41.7,13.7,15291,51.5,70.8,20.4,1.7,2314,9.1,2.9,3.9,73.4,67,29.2,"10-24","50+"
"12","123","Taylor County",23018,2,22932,0,22824,2,22478,3,22295,0,8.68885220262403,0,8.76270592358921,13.3463831301717,0,6.15958825127699,22709.4,2363.36779911374,2193.44147915576,3049.42166140904,3185.3,3426.8,2843.66618793571,50,"00000","00000","00000",37188,16.4,21.5,71.8,13,6.1,41.4,8.6,7406,39.3,79.2,33,3.4,576,5.9,3.4,19.5,64.7,0,20.8,"10-24","50+"
"12","125","Union County",15483,3,15647,0,15918,0,15887,2,15947,1,19.3760899050572,0,0,12.5889091710203,6.27077193202483,7.64715420162046,15776.4,1020.47406833301,1028.95123665878,577.962055534615,610.6,896.7,826.937472105282,50,"00000","00000","00000",37460,21.4,22.1,69.9,16.8,10.4,39.8,8.3,3946,33,67.7,13.4,1,433,9.8,1.5,5.1,57.6,0,32.3,"10-24","50+"
"12","127","Volusia County",498978,24,503851,12,510434,22,517351,19,523345,27,4.80983129516732,2.38165648177735,4.31005771559105,3.67255499651107,5.15912065654587,4.06664422911853,510791.8,3840.44987955381,3538.74458917418,3570.29508222415,3561.8,3115.2,3525.29791019043,50,"00000","00000","00000",43838,16.1,10.6,72.9,11.1,5.4,46.4,22.7,209885,52.1,69.4,18.7,1.8,38732,6.7,2.5,6.6,75.7,22,30.6,"10-24","50+"
"12","129","Wakulla County",30869,0,31285,1,31283,2,31599,1,31909,0,0,3.19642000958926,6.39324872934182,3.1646571094022,0,2.55086516966665,31389,2040.88243869254,2176.76202653029,1927.56449189656,1759.5,1867.8,1954.50179142388,50,"00000","00000","00000",57866,12.6,15.1,79.3,11.6,5.7,40.7,17.8,11075,56.7,80.4,16,2,559,6.9,3.6,6,75.2,29,19.6,"10-24","50+"
"12","131","Walton County",57779,3,59793,0,60687,1,62943,4,65301,1,5.19219785735302,0,1.64779936394945,6.35495607136616,1.53137011684354,2.94526468190243,61300.6,2976.8601048824,2869.90115899854,2531.01982302635,2561,2147,2617.15621738146,50,"00000","00000","00000",50619,17,4.9,84.3,10.8,5.7,43.2,26.7,25449,57.4,71.2,48.5,1.7,3736,5.7,2.3,26.8,77,29,28.8,"Less than 10% black","50+"
"12","133","Washington County",24793,0,24959,1,24975,0,24888,0,24985,2,0,4.00657077607276,0,0,8.00480288172904,2.40227473156036,24920,1790.82805630622,1630.67430586161,1561.56156156156,1530.9,1460.9,1594.97278474588,50,"00000","00000","00000",36989,21,15.4,77.6,11.8,5.3,41.9,11.3,8558,48.9,78.9,21,1.7,679,10.1,2.6,7.8,66.2,3,21.1,"10-24","50+"
